frame,pan_x,pan_y,rotation_deg,accumulated_rotation_deg,accumulated_pan_x,accumulated_pan_y
0,-0.05585533525366368,0.4268667569013109,0.06351090014337903,-0.06351090014337903,-0.05585533525366368,0.4268667569013109
1,-0.21729818927338596,0.7659365796052191,0.11043678073198665,-0.17394768087536566,-0.27315352452704966,1.19280333650653
2,-0.3133249571371491,0.9130602726217041,0.12808877770788207,-0.30203645858324774,-0.5864784816641988,2.1058636091282343
3,-0.4803131016352431,0.9549372614760789,0.14442782860517706,-0.4464642871884248,-1.066791583299442,3.0608008706043135
4,-0.5379021041238803,0.9016588038923656,0.14226818650103074,-0.5887324736894555,-1.6046936874233222,3.962459674496679
5,-0.5955922658984516,0.7566693960195303,0.15153650806349367,-0.7402689817529491,-2.2002859533217736,4.7191290705162094
6,-0.5973681287600339,0.5845933401124735,0.14634149103443417,-0.8866104727873833,-2.7976540820818077,5.303722410628683
7,-0.4275081016143769,0.3503980662361598,0.16731973745798245,-1.0539302102453658,-3.2251621836961846,5.6541204768648425
8,-0.24949967915435234,0.047777344027441465,0.18408905946633936,-1.2380192697117052,-3.474661862850537,5.701897820892284
9,-0.21822936863866066,-0.08539044495192451,0.19296092807565524,-1.4309801977873604,-3.6928912314891975,5.616507375940359
10,-0.2336731855181846,-0.060458974496438785,0.19227290518998258,-1.623253102977343,-3.9265644170073823,5.55604840144392
11,-0.25992086533759545,0.044875133480020785,0.17582506450592,-1.799078167483263,-4.186485282344978,5.6009235349239415
12,-0.27144468905525465,0.0928700118846172,0.15332427487460287,-1.9524024423578659,-4.457929971400232,5.693793546808559
13,-0.18767913695810456,0.07157594620855715,0.15381273862317107,-2.106215180981037,-4.645609108358337,5.765369493017116
14,-0.29880538585578903,0.006019860014672432,0.1519398048275341,-2.258154985808571,-4.944414494214126,5.771389353031788
15,-0.2693054422789529,-0.004842945361578858,0.14636202459069353,-2.4045170103992644,-5.213719936493079,5.766546407670209
16,-0.2502263581771478,0.015819627332175016,0.132760502693968,-2.5372775130932324,-5.463946294670227,5.782366035002384
17,-0.1251131790885739,0.007909813666087508,0.066380251346984,-2.603657764440216,-5.589059473758801,5.790275848668471
18,-0.06255658954428694,0.003954906833043754,0.033190125673492,-2.636847890113708,-5.651616063303088,5.7942307555015145
19,-0.03127829477214347,0.001977453416521877,0.016595062836746,-2.653442952950454,-5.682894358075231,5.796208208918037
20,-0.06282528354677196,-0.1667205896582626,0.03793785726045023,-2.6913808102109043,-5.745719641622003,5.629487619259774
21,0.06252366325143871,-0.07549196039195676,-0.0071484990768576825,-2.6842323111340467,-5.683195978370565,5.553995658867818
22,0.11932928899149572,-0.04933997165317274,-0.08092402057660425,-2.6033082905574423,-5.5638666893790685,5.504655687214645
23,0.08224598409478677,-0.04428058541589548,-0.1488503762105041,-2.4544579143469383,-5.481620705284282,5.460375101798749
24,0.13808613548113863,-0.03855437629549522,-0.22214337834257414,-2.232314536004364,-5.343534569803143,5.421820725503253
25,0.2049616635504838,0.01903834154359883,-0.3544892126149517,-1.8778253233894124,-5.1385729062526595,5.440859067046852
26,0.2507429429269252,0.12135803979975,-0.5359613415932372,-1.3418639817961753,-4.887829963325734,5.562217106846602
27,0.24767439533957514,0.19710338573176278,-0.7367666344161332,-0.6050973473800421,-4.640155567986159,5.7593204925783645
28,0.2552994898558458,0.25927255153681283,-0.9176941972366434,0.3125968498566013,-4.384856078130313,6.018593044115177
29,0.2640747774658706,0.30290582814951694,-1.0872194311117664,1.3998162809683676,-4.120781300664443,6.321498872264694
30,0.25653057669318463,0.3216758219246434,-1.2229963936156443,2.622812674584012,-3.8642507239712582,6.643174694189337
31,0.2814267924600383,0.3534134419049846,-1.348184740097011,3.970997414681023,-3.58282393151122,6.996588136094322
32,0.29854015151601604,0.33362122815121,-1.4393081579861018,5.4103055726671245,-3.284283779995204,7.3302093642455315
33,0.2996689855855178,0.3129707953608479,-1.514304173265245,6.924609745932369,-2.984614794409686,7.64318015960638
34,0.30669650969933687,0.3049585310333287,-1.568473063814289,8.493082809746658,-2.677918284710349,7.948138690639708
35,0.2942632755862441,0.310708400039888,-1.6152011350649298,10.108283944811589,-2.383655009124105,8.258847090679597
36,0.2880527624682783,0.32246187265477905,-1.6557861594395438,11.764070104251132,-2.095602246655827,8.581308963334376
37,0.24942163468322923,0.33411327704559823,-1.6934534313031664,13.457523535554298,-1.8461806119725976,8.915422240379973
38,0.26296206142411205,0.35248410912908973,-1.736104517349834,15.193628052904131,-1.5832185505484855,9.267906349509063
39,0.31215502809769485,0.37982921767090994,-1.7760810448926803,16.969709097796812,-1.2710635224507907,9.647735567179973
40,0.3737793927556675,0.3578879878826725,-1.812341964842118,18.78205106263893,-0.8972841296951232,10.005623555062646
41,0.3900417461132271,0.3439256900255874,-1.8505833829422842,20.632634445581214,-0.507242383581896,10.349549245088234
42,0.3942571981132251,0.3305502188471561,-1.8814831950482471,22.51411764062946,-0.11298518546867087,10.68009946393539
